Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Reference,Category
2/16/20,99 ASIAN SUPERMARKET,50.79,"00002311    781-338-9988
Description : GROCERIES/SUNDRIES Price : 0.00
781-338-9988",99 ASIAN SUPERMARKETMALDEN              MA,"60 BROADWAY
MALDEN
MA
02148
UNITED STATES",'320200480362257685',Merchandise & Supplies-Groceries
2/16/20,ORANGE LINE MALDEN CENTER,22.50,"00060058011 6172223200
Description : COMMUTER TRANS. Price : 22.5
6172223200",MBTA MALDEN CENTR 00MALDEN              MA,"10 PARK PLZ
STE 1
BOSTON
MA
02116-3977
UNITED STATES",'320200490381632746',Transportation-Rail Services
2/15/20,TOTTO RAMEN SOMERVILLE,15.51,"tkTqWS67BSk squareup.com/receipts
squareup.com/receipts",TOTTO RAMEN SOMERVILSomerville          MA,"463 ARTISAN WAY
SOMERVILLE
MA
02145
UNITED STATES OF AMERICA (THE)",'320200460317794145',Restaurant-Restaurant
2/15/20,Trader Joe's,27.50,"0041122     626-599-3700
""Description : GROCERY STORES,SUPE Price : 0.00""
626-599-3700",TRADER JOE'S #560 QPSOMERVILLE          MA,"145 MIDDLESEX AVE
SOMERVILLE
MA
02145
UNITED STATES",'320200470345851462',Merchandise & Supplies-Groceries
2/13/20,McDonald's,1.07,"000011049   6175239609
6175239609",MCDONALD'S          BOSTON              MA,"329 WASHINGTON ST
BOSTON
MA
02108-5106
UNITED STATES",'320200450310542178',Restaurant-Bar & Café
2/13/20,McDonald's,3.21,"000069826   6175239609
6175239609",MCDONALD'S          BOSTON              MA,"329 WASHINGTON ST
BOSTON
MA
02108-5106
UNITED STATES",'320200450308283995',Restaurant-Bar & Café
2/12/20,H MART,20.53,"0065200     201-507-9900
Description : GROCERIES/SUNDRIES Price : 0.00
201-507-9900",H MART CBG          CAMBRIDGE           MA,"581 MASSACHUSETTS AVE
CAMBRIDGE
MA
02139-4030
UNITED STATES",'320200440291662415',Merchandise & Supplies-Groceries
2/8/20,GONG CHA            BOSTON,-1.85,"GongCha-40HOffer
GongCha-40HOffer",GONG CHA            BOSTON,"40-44 HARRISON AVE 1A
BOSTON
MA
02111
UNITED STATES",'320200400216142149',Restaurant-Bar & Café
2/7/20,GONG CHA,5.62,"10156320200 6175744870
6175744870",GONG CHA 65000000996BOSTON              MA,"40-44 HARRISON AVE 1A
BOSTON
MA
02111
UNITED STATES",'320200390195260492',Restaurant-Bar & Café
2/7/20,GONG CHA,6.16,"10156320200 6175744870
6175744870",GONG CHA 65000000996BOSTON              MA,"40-44 HARRISON AVE 1A
BOSTON
MA
02111
UNITED STATES",'320200390196028069',Restaurant-Bar & Café
2/7/20,ORANGE LINE DOWNTOWN CRSG,22.50,"00070039011 6172223200
Description : COMMUTER TRANS. Price : 22.5
6172223200",MBTA DOWNTOWN XNG 00BOSTON              MA,"10 PARK PLZ
STE 1
BOSTON
MA
02116-3977
UNITED STATES",'320200400223201538',Transportation-Rail Services
2/7/20,ONLINE PAYMENT - THANK YOU,-322.87,,ONLINE PAYMENT - THANK YOU,,'320200380191803413',
2/5/20,STOP & SHOP,12.54,"849617      GROCERY STORE
GROCERY STORE",STOP & SHOP         MALDEN              MA,"99 CHARLES ST
MALDEN
MA
02148
UNITED STATES",'320200370173462080',Merchandise & Supplies-Groceries
2/2/20,INSTACART           SAN FRANCISCO       CA,-0.11,"RE_GFCZ5AFQ 8882467822
8882467822",INSTACART           SAN FRANCISCO       CA,"""50 BEALE STREET, 6TH FLOOR""
SAN FRANCISCO
CA
94105
UNITED STATES OF AMERICA (THE)",'320200340114630234',Merchandise & Supplies-Groceries
2/1/20,INSTACART           SAN FRANCISCO       CA,40.77,"NT_GEOEOVNF 8882467822
8882467822",INSTACART           SAN FRANCISCO       CA,"""50 BEALE STREET, 6TH FLOOR""
SAN FRANCISCO
CA
94105
UNITED STATES OF AMERICA (THE)",'320200330094987378',Merchandise & Supplies-Groceries
